code,name,market,industry,status,is_st,tradable,updated_at,source
bj920166,海圣医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920167,同享科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920168,通宝光电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920169,七丰精工,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920171,志晟信息,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920174,五新智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920175,东方碳素,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920176,维琪科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920177,恒道科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920178,锐翔智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920179,凯德石英,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920180,爱得科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920181,赛英电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920183,海菲曼,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920184,国源科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920185,贝特瑞,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920186,中科仪,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920187,通领科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920188,悦龙科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920189,康美特,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920190,雷神科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920191,瑞尔竞达,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920193,吉和昌,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920195,三祥科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920198,微创光电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920199,倍益康,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920200,振宏股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920204,沪江材料,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920206,彩客科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920207,众诚科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920208,青矩技术,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920211,新睿电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920212,智新电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920218,新天力,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920220,朗信电气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920221,易实精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920222,益坤电气,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920223,荣亿精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920225,利通科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920227,美登科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920230,欧康医药,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920237,力佳科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920238,长鹰硬科,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920239,长虹能源,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920242,建邦科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920245,威博液压,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920247,华密新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920249,利尔达,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920252,天宏锂电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920258,聚仁新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920260,中寰股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920261,一诺威,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920262,太湖雪,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920263,中航泰达,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920266,生物谷,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920267,鑫汇科,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920270,天铭科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920271,邦德股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920273,一致魔芋,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920274,宏裕包材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920275,驱动力,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920278,鹿得医疗,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920284,灵鸽科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920299,灿能电力,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
